2021-06-15 04:52:00,841 | asyncio | DEBUG | Using selector: EpollSelector
2021-06-15 04:56:30,850 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 04:56:33,152 | bot | DEBUG | waiting for message...
2021-06-15 04:56:34,116 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 04:56:34,116 | bot | DEBUG | waiting for message...
2021-06-15 04:56:35,902 | exts.assignment | DEBUG | processing ❎ for 518063131096907813
2021-06-15 04:56:43,744 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 04:56:45,988 | bot | DEBUG | waiting for message...
2021-06-15 04:56:47,674 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 04:56:50,107 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 04:56:50,107 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 04:58:01,101 | bot | INFO | Cog loaded: Assignments
2021-06-15 04:58:02,082 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 04:58:04,346 | bot | DEBUG | waiting for message...
2021-06-15 04:58:09,740 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 04:58:12,166 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 04:58:12,167 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:01:11,735 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:01:16,554 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:01:18,881 | bot | DEBUG | waiting for message...
2021-06-15 05:01:20,648 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 05:01:23,090 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:01:23,090 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:03:25,508 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:03:27,825 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:03:30,097 | bot | DEBUG | waiting for message...
2021-06-15 05:03:33,248 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 05:03:35,700 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:03:35,700 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:05:02,548 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:05:04,810 | bot | DEBUG | waiting for message...
2021-06-15 05:05:05,846 | exts.assignment | DEBUG | processing ❎ for 518063131096907813
2021-06-15 05:05:08,800 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:05:10,343 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:05:12,639 | bot | DEBUG | waiting for message...
2021-06-15 05:05:14,366 | exts.assignment | DEBUG | got content 
2021-06-15 05:05:14,366 | exts.assignment | DEBUG | checking first check
2021-06-15 05:05:14,366 | exts.assignment | DEBUG | checking second check
2021-06-15 05:05:14,366 | exts.assignment | DEBUG | gettign state
2021-06-15 05:05:14,808 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 05:05:17,231 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:05:17,231 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:06:34,689 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:06:36,342 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:06:38,676 | bot | DEBUG | waiting for message...
2021-06-15 05:06:40,544 | exts.assignment | DEBUG | got content 
2021-06-15 05:06:40,544 | exts.assignment | DEBUG | checking first check
2021-06-15 05:06:40,544 | exts.assignment | DEBUG | checking second check
2021-06-15 05:06:40,544 | exts.assignment | DEBUG | gettign state
2021-06-15 05:06:40,967 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 05:06:43,383 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:06:43,383 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:07:58,836 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:08:00,675 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:08:02,984 | bot | DEBUG | waiting for message...
2021-06-15 05:08:03,915 | exts.assignment | DEBUG | got content 
2021-06-15 05:08:03,916 | exts.assignment | DEBUG | checking first check
2021-06-15 05:08:03,916 | exts.assignment | DEBUG | checking second check
2021-06-15 05:08:03,916 | exts.assignment | DEBUG | gettign state
2021-06-15 05:08:03,916 | exts.assignment | DEBUG | got state
2021-06-15 05:08:04,357 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 05:08:06,792 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:08:06,793 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:09:32,180 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:09:35,317 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:09:37,584 | bot | DEBUG | waiting for message...
2021-06-15 05:09:39,030 | exts.assignment | DEBUG | got content 
2021-06-15 05:09:39,031 | exts.assignment | DEBUG | checking first check
2021-06-15 05:09:39,031 | exts.assignment | DEBUG | checking second check
2021-06-15 05:09:39,031 | exts.assignment | DEBUG | gettign state
2021-06-15 05:09:39,521 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 05:09:41,954 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:09:41,954 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 05:10:00,844 | exts.admin | DEBUG | Admin Eval from Tpmonkey#2682; code: not ""
2021-06-15 05:10:05,745 | exts.admin | DEBUG | Admin Eval from Tpmonkey#2682; code: not " "
2021-06-15 05:10:19,915 | bot | INFO | Cog loaded: Assignments
2021-06-15 05:10:21,273 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:10:23,604 | bot | DEBUG | waiting for message...
2021-06-15 05:10:25,267 | exts.assignment | DEBUG | got content 
2021-06-15 05:10:25,267 | exts.assignment | DEBUG | checking first check
2021-06-15 05:10:25,267 | exts.assignment | DEBUG | checking second check
2021-06-15 05:10:25,267 | exts.assignment | DEBUG | gettign state
2021-06-15 05:10:25,268 | exts.assignment | DEBUG | empty message, likely to be picture
2021-06-15 05:10:25,268 | exts.assignment | DEBUG | 518063131096907813 added image using file
2021-06-15 05:10:25,697 | bot | DEBUG | got Image, return and deleted.
2021-06-15 05:10:25,995 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:10:25,995 | bot | DEBUG | waiting for message...
2021-06-15 05:10:31,723 | exts.assignment | DEBUG | got content I am smart
2021-06-15 05:10:31,723 | exts.assignment | DEBUG | checking first check
2021-06-15 05:10:31,724 | exts.assignment | DEBUG | checking second check
2021-06-15 05:10:31,724 | exts.assignment | DEBUG | gettign state
2021-06-15 05:10:31,983 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:10:31,983 | bot | DEBUG | waiting for message...
2021-06-15 05:10:35,048 | exts.assignment | DEBUG | got content fcuk my self
2021-06-15 05:10:35,048 | exts.assignment | DEBUG | checking first check
2021-06-15 05:10:35,048 | exts.assignment | DEBUG | checking second check
2021-06-15 05:10:35,048 | exts.assignment | DEBUG | gettign state
2021-06-15 05:10:35,313 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:10:35,313 | bot | DEBUG | waiting for message...
2021-06-15 05:10:36,819 | exts.assignment | DEBUG | processing ❎ for 518063131096907813
2021-06-15 05:10:39,958 | exts.assignment | DEBUG | got content I am
2021-06-15 05:10:39,959 | exts.assignment | DEBUG | checking first check
2021-06-15 05:11:26,690 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 05:11:29,016 | bot | DEBUG | waiting for message...
2021-06-15 05:11:39,282 | exts.assignment | DEBUG | got content งานดนตรีนาฎศิลป์ ชิ้นที่ 2
2021-06-15 05:11:39,282 | exts.assignment | DEBUG | checking first check
2021-06-15 05:11:39,282 | exts.assignment | DEBUG | checking second check
2021-06-15 05:11:39,282 | exts.assignment | DEBUG | gettign state
2021-06-15 05:11:39,545 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:11:39,545 | bot | DEBUG | waiting for message...
2021-06-15 05:11:44,277 | exts.assignment | DEBUG | got content 
2021-06-15 05:11:44,278 | exts.assignment | DEBUG | checking first check
2021-06-15 05:11:44,278 | exts.assignment | DEBUG | checking second check
2021-06-15 05:11:44,278 | exts.assignment | DEBUG | gettign state
2021-06-15 05:11:44,278 | exts.assignment | DEBUG | empty message, likely to be picture
2021-06-15 05:11:44,279 | exts.assignment | DEBUG | 518063131096907813 added image using file
2021-06-15 05:11:44,708 | bot | DEBUG | got Image, return and deleted.
2021-06-15 05:11:44,969 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:11:44,969 | bot | DEBUG | waiting for message...
2021-06-15 05:11:50,611 | exts.assignment | DEBUG | processing 3️⃣ for 518063131096907813
2021-06-15 05:11:50,759 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:11:55,636 | exts.assignment | DEBUG | got content 28/6/2021
2021-06-15 05:11:55,637 | exts.assignment | DEBUG | checking first check
2021-06-15 05:11:55,637 | exts.assignment | DEBUG | checking second check
2021-06-15 05:11:55,637 | exts.assignment | DEBUG | gettign state
2021-06-15 05:11:55,924 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 05:11:55,924 | bot | DEBUG | waiting for message...
2021-06-15 05:12:01,286 | exts.assignment | DEBUG | processing ✅ for 518063131096907813
2021-06-15 05:12:01,286 | utils.planner | DEBUG | generated new key
2021-06-15 05:12:01,367 | utils.planner | DEBUG | added Assignment from `728482381215826000` with key `04da2d0e`
2021-06-15 05:12:01,413 | exts.assignment | DEBUG | 518063131096907813 add/edit new assignment and passed in successfully.
2021-06-15 05:12:01,860 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-06-15 05:12:02,034 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,034 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:02,035 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,035 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:02,036 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,036 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:02,037 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,037 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:02,037 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,038 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:02,038 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,039 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:02,039 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:02,040 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:03,240 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:03,240 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:04,386 | bot | DEBUG | creating assignment embed...
2021-06-15 05:12:04,387 | bot | DEBUG | successfully created assignment embed
2021-06-15 05:12:05,566 | bot | DEBUG | exts.update :white_check_mark: Sucessfully update works at 728482381215826000 :
`9``8`EES
2021-06-15 05:12:05,739 | exts.update | DEBUG | updated active-works for 728482381215826000
2021-06-15 05:15:02,138 | exts.assignment | DEBUG | got content I got
2021-06-15 05:15:02,139 | exts.assignment | DEBUG | checking first check
2021-06-15 06:45:31,720 | exts.debug | DEBUG | {"op":1,"d":521}
2021-06-15 06:45:31,720 | exts.debug | DEBUG | {"op":6,"d":{"seq":521,"session_id":"4f2d71ca8ecf78507e9588ed4dc93a82","token":"NzI4NDgyNjA0NzQ3MTk0NDE4.Xv7CSw.xiLx1c6QNDTuiJBEbqtuVf2DFGo"}}
2021-06-15 06:45:31,805 | bot | INFO | Resumed Connection
2021-06-15 06:45:32,508 | bot | DEBUG | changed bot status
2021-06-15 06:45:32,551 | exts.debug | DEBUG | {"op":3,"d":{"game":{"flags":0,"type":0,"name":",help command"},"afk":false,"since":0.0,"status":"online"}}
2021-06-15 08:32:28,620 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 08:32:31,030 | bot | DEBUG | waiting for message...
2021-06-15 08:32:35,288 | exts.assignment | DEBUG | got content งานสุขศึกษา
2021-06-15 08:32:35,288 | exts.assignment | DEBUG | checking first check
2021-06-15 08:32:35,289 | exts.assignment | DEBUG | checking second check
2021-06-15 08:32:35,289 | exts.assignment | DEBUG | gettign state
2021-06-15 08:32:35,559 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:32:35,559 | bot | DEBUG | waiting for message...
2021-06-15 08:32:43,931 | exts.assignment | DEBUG | got content **เวลาตามห้อง 6, 7**
2021-06-15 08:32:43,932 | exts.assignment | DEBUG | checking first check
2021-06-15 08:32:43,932 | exts.assignment | DEBUG | checking second check
2021-06-15 08:32:43,932 | exts.assignment | DEBUG | gettign state
2021-06-15 08:32:44,259 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:32:44,260 | bot | DEBUG | waiting for message...
2021-06-15 08:32:46,228 | exts.assignment | DEBUG | processing 4️⃣ for 518063131096907813
2021-06-15 08:32:46,360 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:32:48,616 | exts.assignment | DEBUG | got content https://discord.com/channels/728482381215826000/730259453882138665/854274050020737044
2021-06-15 08:32:48,616 | exts.assignment | DEBUG | checking first check
2021-06-15 08:32:48,616 | exts.assignment | DEBUG | checking second check
2021-06-15 08:32:48,617 | exts.assignment | DEBUG | gettign state
2021-06-15 08:32:48,617 | exts.assignment | DEBUG | 518063131096907813 added image using url: https://discord.com/channels/728482381215826000/730259453882138665/854274050020737044
2021-06-15 08:32:48,902 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:32:48,903 | bot | DEBUG | waiting for message...
2021-06-15 08:32:50,634 | exts.assignment | DEBUG | processing 3️⃣ for 518063131096907813
2021-06-15 08:32:50,759 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:33:01,736 | exts.assignment | DEBUG | got content 22/6/2021
2021-06-15 08:33:01,737 | exts.assignment | DEBUG | checking first check
2021-06-15 08:33:01,737 | exts.assignment | DEBUG | checking second check
2021-06-15 08:33:01,737 | exts.assignment | DEBUG | gettign state
2021-06-15 08:33:02,034 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:33:02,034 | bot | DEBUG | waiting for message...
2021-06-15 08:33:05,134 | exts.assignment | DEBUG | processing ✅ for 518063131096907813
2021-06-15 08:33:05,135 | utils.planner | DEBUG | generated new key
2021-06-15 08:33:05,213 | utils.planner | DEBUG | added Assignment from `728482381215826000` with key `9ce9483a`
2021-06-15 08:33:05,291 | exts.assignment | DEBUG | 518063131096907813 add/edit new assignment and passed in successfully.
2021-06-15 08:33:29,789 | bot | DEBUG | creating assignment embed...
2021-06-15 08:33:29,790 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:33:29,791 | exts.assignment | DEBUG | got content ,info 9ce9483a
2021-06-15 08:33:29,791 | exts.assignment | DEBUG | checking first check
2021-06-15 08:34:01,839 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-06-15 08:34:02,003 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,004 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,004 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,005 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,006 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,006 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,007 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,007 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,008 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,009 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,010 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,010 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,011 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,011 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,012 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,012 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:02,013 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:02,013 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:03,267 | bot | DEBUG | creating assignment embed...
2021-06-15 08:34:03,267 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:34:04,455 | bot | DEBUG | exts.update :white_check_mark: Sucessfully update works at 728482381215826000 :
`10``9`ES
2021-06-15 08:34:04,626 | exts.update | DEBUG | updated active-works for 728482381215826000
2021-06-15 08:35:08,362 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 08:35:10,675 | bot | DEBUG | waiting for message...
2021-06-15 08:35:10,899 | exts.assignment | DEBUG | processing 4️⃣ for 518063131096907813
2021-06-15 08:35:11,056 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:35:13,143 | exts.assignment | DEBUG | got content https://cdn.discordapp.com/attachments/730259453882138665/854274049802240030/unknown.png
2021-06-15 08:35:13,144 | exts.assignment | DEBUG | checking first check
2021-06-15 08:35:13,144 | exts.assignment | DEBUG | checking second check
2021-06-15 08:35:13,144 | exts.assignment | DEBUG | gettign state
2021-06-15 08:35:13,144 | exts.assignment | DEBUG | 518063131096907813 added image using url: https://cdn.discordapp.com/attachments/730259453882138665/854274049802240030/unknown.png
2021-06-15 08:35:13,432 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:35:13,432 | bot | DEBUG | waiting for message...
2021-06-15 08:35:15,120 | exts.assignment | DEBUG | processing ✅ for 518063131096907813
2021-06-15 08:35:15,201 | utils.planner | DEBUG | added Assignment from `728482381215826000` with key `9ce9483a`
2021-06-15 08:35:15,313 | exts.assignment | DEBUG | 518063131096907813 add/edit new assignment and passed in successfully.
2021-06-15 08:36:01,983 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-06-15 08:36:02,148 | bot | DEBUG | creating assignment embed...
2021-06-15 08:36:02,149 | bot | DEBUG | successfully created assignment embed
2021-06-15 08:36:03,281 | bot | DEBUG | exts.update :white_check_mark: Sucessfully update works at 728482381215826000 :
`10``10`E
2021-06-15 08:36:03,428 | exts.update | DEBUG | updated active-works for 728482381215826000
2021-06-15 08:36:54,205 | exts.assignment | DEBUG | got content https://cdn.discordapp.com/attachments/730259453882138665/854274049802240030/unknown.png
2021-06-15 08:36:54,205 | exts.assignment | DEBUG | checking first check
2021-06-15 08:37:07,021 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 08:37:09,379 | bot | DEBUG | waiting for message...
2021-06-15 08:37:09,647 | exts.assignment | DEBUG | processing 4️⃣ for 518063131096907813
2021-06-15 08:37:09,808 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:37:12,846 | exts.assignment | DEBUG | got content https://
2021-06-15 08:37:12,846 | exts.assignment | DEBUG | checking first check
2021-06-15 08:37:12,847 | exts.assignment | DEBUG | checking second check
2021-06-15 08:37:12,847 | exts.assignment | DEBUG | gettign state
2021-06-15 08:37:13,146 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 08:37:13,146 | bot | DEBUG | waiting for message...
2021-06-15 08:37:18,241 | exts.assignment | DEBUG | processing ❎ for 518063131096907813
2021-06-15 08:40:56,370 | exts.assignment | DEBUG | got content ,reload debug
2021-06-15 08:40:56,371 | exts.assignment | DEBUG | checking first check
2021-06-15 08:40:56,549 | bot | INFO | Cog loaded: Debug
2021-06-15 08:41:20,253 | bot | INFO | Cog loaded: Debug
2021-06-15 08:41:42,682 | bot | INFO | Cog loaded: Debug
2021-06-15 08:42:14,330 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-06-15 08:42:14,766 | utils.planner | DEBUG | return embed for 728482381215826000
2021-06-15 08:47:42,672 | bot | INFO | Cog loaded: Updater
2021-06-15 08:47:42,673 | exts.update | DEBUG | Time took to update all works: 1.3828277587890625e-05 sec
2021-06-15 08:48:42,680 | exts.update | DEBUG | Time took to update all works: 2.3603439331054688e-05 sec
2021-06-15 08:49:42,699 | exts.update | DEBUG | Time took to update all works: 2.1457672119140625e-05 sec
2021-06-15 08:50:32,933 | bot | INFO | Cog loaded: Updater
2021-06-15 14:34:21,572 | asyncio | DEBUG | Using selector: EpollSelector
2021-06-15 14:34:21,574 | bot | DEBUG | created bot base.
2021-06-15 14:34:21,597 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-06-15 14:34:21,598 | constant | DEBUG | init database succesful
2021-06-15 14:34:21,680 | utils.planner | DEBUG | triggered update
2021-06-15 14:34:21,690 | bot | DEBUG | bot subclass Created.
2021-06-15 14:34:21,695 | bot | INFO | Cog loaded: AdminCommands
2021-06-15 14:34:21,698 | bot | INFO | Cog loaded: WaitForEvent
2021-06-15 14:34:21,702 | bot | INFO | Cog loaded: Snekbox
2021-06-15 14:34:21,705 | bot | INFO | Cog loaded: DayLoop
2021-06-15 14:34:21,707 | bot | INFO | Cog loaded: SetUp
2021-06-15 14:34:21,709 | bot | INFO | Cog loaded: ErrorHandler
2021-06-15 14:34:21,719 | bot | INFO | Cog loaded: Assignments
2021-06-15 14:34:21,724 | bot | INFO | Cog loaded: Updater
2021-06-15 14:34:21,763 | bot | INFO | Cog loaded: Latency
2021-06-15 14:34:21,765 | bot | INFO | Cog loaded: Debug
2021-06-15 14:34:21,767 | bot | INFO | Cog loaded: VoiceChannel
2021-06-15 14:34:21,768 | bot | INFO | Cog loaded: NewPatch
2021-06-15 14:34:22,002 | bot | INFO | Cog loaded: KUSNews
2021-06-15 14:34:22,006 | bot | INFO | Cog loaded: Help
2021-06-15 14:34:22,008 | bot | INFO | Cog loaded: Utility
2021-06-15 14:34:22,094 | exts.kus | DEBUG | loaded data
